name,height,mass
Luke Skywalker,172,77
C-3PO,167,75
R2-D2,96,32
Darth Vader,202,136
Leia Organa,150,49
Owen Lars,178,120
Beru Whitesun lars,165,75
R5-D4,97,32
Biggs Darklighter,183,84
Obi-Wan Kenobi,182,77
Anakin Skywalker,188,84
Chewbacca,228,112
Han Solo,180,80
Greedo,173,74
Jabba Desilijic Tiure,175,1358
Wedge Antilles,170,77
Jek Tono Porkins,180,110
Yoda,66,17
Palpatine,170,75
Boba Fett,183,78.2
IG-88,200,140
Bossk,190,113
Lando Calrissian,177,79
Lobot,175,79
Ackbar,180,83
Wicket Systri Warrick,88,20
Nien Nunb,160,68
Qui-Gon Jinn,193,89
Nute Gunray,191,90
Jar Jar Binks,196,66
Roos Tarpals,224,82
Sebulba,112,40
Darth Maul,175,80
Ayla Secura,178,55
Dud Bolt,94,45
Ben Quadinaros,163,65
Mace Windu,188,84
Ki-Adi-Mundi,198,82
Kit Fisto,196,87
Adi Gallia,184,50
Plo Koon,188,80
Gregar Typho,185,85
Poggle the Lesser,183,80
Luminara Unduli,170,56.2
Barriss Offee,166,50
Dooku,193,80
Jango Fett,183,79
Zam Wesell,168,55
Dexter Jettster,198,102
Lama Su,229,88
Ratts Tyerell,79,15
Wat Tambor,193,48
Shaak Ti,178,57
Grievous,216,159
Tarfful,234,136
Raymus Antilles,188,79
Sly Moore,178,48
Tion Medon,206,80
Padmé Amidala,165,45
